Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp
Walking,2020-02-02 14:22:23,false,"Bloomington Walking","1.57","235","00:41:45","85","113","104","122","26:35","7:27","25","29","0.58","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","18:41.88","2","0.0"
Running,2020-01-31 12:18:09,false,"Bloomington Running","1.52","205","00:20:54","121","143","130","148","13:45","10:06","17","19","0.90","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","09:38.92","2","0.0"
Treadmill Running,2020-01-22 12:00:25,false,"Treadmill Running","1.72","205","00:22:20","124","145","132","150","13:01","7:50","--","--","0.95","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","11:07.63","2","0.0"
Treadmill Running,2020-01-20 11:37:53,false,"Treadmill Running","1.91","214","00:25:07","122","151","128","148","13:10","8:32","--","--","0.96","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","11:07.76","2","0.0"
Running,2020-01-14 11:48:08,false,"Bloomington Running","2.12","280","00:28:52","123","179","130","148","13:39","7:20","21","18","0.91","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","01:56.25","3","0.0"
Running,2019-12-26 14:47:57,false,"Bloomington Running","1.78","242","00:28:04","112","148","118","150","15:47","8:31","40","46","0.86","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","13:54.27","2","0.0"
Walking,2019-12-26 14:37:12,false,"Bloomington Walking","0.52","60","00:10:29","88","98","102","122","20:17","14:42","10","3","0.78","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","1","0.0"
Running,2019-11-20 11:24:42,false,"Bloomington Running","1.83","232","00:29:38","101","139","114","154","16:14","10:41","36","32","0.86","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","14:46.87","2","0.0"
Walking,2019-11-15 12:47:55,false,"Walking","0.94","86","00:17:01","94","105","102","122","18:10","14:00","--","--","0.87","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","1","0.0"
Running,2019-09-20 18:30:17,false,"Bloomington Running","0.60","77","00:07:28.5","129","145","134","148","12:31","0:27","3","1","0.96","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","1","0.0"
Walking,2019-09-20 17:59:23,false,"Bloomington Walking","1.52","193","00:28:27","88","105","102","150","18:42","5:35","22","18","0.84","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","10:14.01","2","0.0"
Running,2019-08-27 16:50:10,false,"Bloomington Running","3.07","398","00:35:38","135","166","142","162","11:36","8:10","59","63","0.97","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","01:01.28","4","0.0"
Running,2019-08-20 17:54:14,false,"Bloomington Running","3.41","455","00:41:39","135","173","140","162","12:13","5:11","45","42","0.94","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","06:17.16","4","0.0"
Running,2019-08-18 12:51:45,false,"Bloomington Running","2.75","363","00:33:20","137","153","140","156","12:07","1:00","57","57","0.95","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","09:55.88","3","0.0"
Running,2019-08-15 13:57:50,false,"Bloomington Running","3.03","397","00:36:48","134","148","142","154","12:10","7:02","51","30","0.93","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:33.96","4","0.0"
Running,2019-08-10 13:12:57,false,"Bloomington Running","3.57","471","00:47:15","125","152","132","150","13:14","1:52","93","87","0.92","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","07:43.63","4","0.0"
Running,2019-08-08 11:29:59,false,"Bloomington Running","2.62","328","00:31:24","129","149","142","150","11:59","0:25","33","32","0.94","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","07:44.32","3","0.0"
Running,2019-08-01 11:55:22,false,"Urbana Running","3.61","482","00:42:53","138","155","142","154","11:53","7:40","76","92","0.95","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","08:03.13","4","0.0"
Running,2019-07-30 11:47:20,false,"Urbana Running","3.80","517","00:50:04","132","152","136","208","13:11","2:32","67","79","0.90","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","11:30.30","4","0.0"
Running,2019-07-19 12:24:32,false,"Urbana Running","2.69","396","00:36:52","142","163","132","150","13:43","9:36","64","63","0.88","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","11:54.61","3","0.0"
